ParticipantID,CameraViews,CorrectedVideos
p11,CAM_UL,9
p11,CAM_UR,9
p11,CAM_LL,9
p11,CAM_UL,0
p11,CAM_UR,0
p11,CAM_LL,0
p11,CAM_AV,9
p11,CAM_LR,9
p12,CAM_UL,10
p12,CAM_UR,10
p12,CAM_LL,10
p12,CAM_AV,10
p12,CAM_LR,10
p13,CAM_UL,10
p13,CAM_UR,10
p13,CAM_LL,10
p11,CAM_AV,0
p11,CAM_LR,0
p12,CAM_UL,0
p12,CAM_UR,0
p12,CAM_LL,0
p12,CAM_AV,0
p12,CAM_LR,0
p13,CAM_UL,0
p13,CAM_UR,0
p13,CAM_LL,0
p21,CAM_UR,10
p21,CAM_LR,10
p21,CAM_AV,10
p21,CAM_LL,10
p21,CAM_UL,10
p22,CAM_UR,10
p22,CAM_LR,10
p22,CAM_AV,10
p22,CAM_LL,10
p22,CAM_UL,10
p23,CAM_UR,8
p23,CAM_LR,8
p23,CAM_AV,8
p23,CAM_LL,8
p23,CAM_UL,8
p24,CAM_UR,10
p24,CAM_LR,10
p24,CAM_AV,10
p24,CAM_LL,10
p24,CAM_UL,10
p25,CAM_UR,10
p25,CAM_LR,10
p25,CAM_AV,10
p25,CAM_LL,10
p25,CAM_UL,10
p26,CAM_UR,10
p26,CAM_LR,10
p26,CAM_AV,10
p26,CAM_LL,10
p26,CAM_UL,10
p27,CAM_UR,10
p27,CAM_LR,10
p27,CAM_AV,10
p27,CAM_LL,10
p27,CAM_UL,10
p28,CAM_UR,10
p28,CAM_LR,10
p28,CAM_AV,10
p28,CAM_LL,10
p28,CAM_UL,10
p29,CAM_UR,10
p29,CAM_LR,10
p29,CAM_AV,10
p29,CAM_LL,10
p29,CAM_UL,10
p30,CAM_UR,10
p30,CAM_LR,10
p30,CAM_AV,10
p30,CAM_LL,10
p30,CAM_UL,10
p31,CAM_UR,10
p31,CAM_LR,10
p31,CAM_AV,10
p31,CAM_LL,10
p31,CAM_UL,10
p32,CAM_UR,10
p32,CAM_LR,10
p32,CAM_AV,10
p32,CAM_LL,10
p32,CAM_UL,10
p33,CAM_UR,10
p33,CAM_LR,10
p33,CAM_AV,10
p33,CAM_LL,10
p33,CAM_UL,10
p34,CAM_UR,9
p34,CAM_LR,9
p34,CAM_AV,9
p34,CAM_LL,9
p34,CAM_UL,9
p35,CAM_UR,9
p35,CAM_LR,9
p35,CAM_AV,9
p35,CAM_LL,9
p35,CAM_UL,9
p36,CAM_UR,10
p36,CAM_LR,10
p36,CAM_AV,10
p36,CAM_LL,10
p36,CAM_UL,10
p37,CAM_UR,10
p37,CAM_LR,10
p37,CAM_AV,10
p37,CAM_LL,10
p37,CAM_UL,10
p38,CAM_UR,10
p38,CAM_LR,10
p38,CAM_AV,10
p38,CAM_LL,10
p38,CAM_UL,10
p39,CAM_UR,10
p39,CAM_LR,10
p39,CAM_AV,10
p39,CAM_LL,10
p39,CAM_UL,10
p40,CAM_UR,10
p40,CAM_LR,10
p40,CAM_AV,10
p40,CAM_LL,10
p40,CAM_UL,10
p23,CAM_UR,3
p23,CAM_LR,3
p23,CAM_AV,3
p23,CAM_LL,3
p23,CAM_UL,3
